Master_CDF,feeder_voltage,feeder_max_hc,feeder_min_hc,feeder_dg_connected_since_refresh,hca_refresh_date,color,shape_length
36_16_4964,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.372326171
36_16_6651,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.922161291
36_16_6652,13.2,1.6,0.02,2.15,2022/10/01 00:00:00+00,turquoise,1.0008215
36_17_33151,13.2,1.26,0.3,0,2022/10/01 00:00:00+00,green,0.452156418
36_17_33152,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.450791915
36_17_33153,13.2,1.01,0.1,0.01,2022/10/01 00:00:00+00,green,1.053366555
36_17_33351,13.2,0,0,0,2022/10/01 00:00:00+00,brown,1.66811793
36_17_33352,13.2,0.6,0.1,0.01,2022/10/01 00:00:00+00,yellow,1.62428159
36_17_38271,4.8,0.1,0,0,2022/10/01 00:00:00+00,brown,0.50456392
36_17_38272,4.8,0.1,0,0,2022/10/01 00:00:00+00,brown,0.849872439
36_17_38361,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.580169635
36_17_38362,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.6601962
36_17_38363,4.8,0.47,0.3,0,2022/10/01 00:00:00+00,red,0.047877388
36_17_38364,4.8,0,0,0,2022/10/01 00:00:00+00,brown,0.463099422
36_17_39861,4.8,0.14,0.1,0,2022/10/01 00:00:00+00,brown,0.655389977
36_17_39963,4.8,0.26,0.09,0.01,2022/10/01 00:00:00+00,brown,0.639974679
36_17_60451,13.2,0.62,0.3,0,2022/10/01 00:00:00+00,yellow,0.180882505
36_17_60452,13.2,0.34,0.34,0,2022/10/01 00:00:00+00,red,0.286358454
36_17_60453,13.2,1.32,0.1,0,2022/10/01 00:00:00+00,green,0.368808601
36_17_60454,13.2,0.26,0.03,0.01,2022/10/01 00:00:00+00,brown,0.22200544
36_17_60656,13.2,1.48,0.3,0,2022/10/01 00:00:00+00,green,0.616641074
36_17_60657,13.2,2,0.3,0,2022/10/01 00:00:00+00,light blue,0.286222492
36_17_60658,13.2,1.52,0.1,0,2022/10/01 00:00:00+00,turquoise,0.693718859
36_17_61651,13.2,1.13,0.2,0,2022/10/01 00:00:00+00,green,0.259160045
36_17_61652,13.2,0,0,0,2022/10/01 00:00:00+00,brown,0.285284329
36_17_61653,13.2,1.57,0.1,0,2022/10/01 00:00:00+00,turquoise,0.425246565
36_17_61654,13.2,0.59,0.1,0,2022/10/01 00:00:00+00,yellow,0.289111535
36_17_62257,13.2,0,0,-0.01,2022/10/01 00:00:00+00,brown,1.898092189
36_17_62258,13.2,2.5,0.05,0.01,2022/10/01 00:00:00+00,light blue,2.342966051
36_17_63264,4.16,0.1,0.1,0,2022/10/01 00:00:00+00,brown,0.083476535
36_17_63265,4.16,0,0,0,2022/10/01 00:00:00+00,brown,0.09284893
36_17_63266,4.16,0.38,0.38,0,2022/10/01 00:00:00+00,red,0.064318538
36_17_64655,13.2,10,0.1,0.01,2022/10/01 00:00:00+00,dark blue,0.463838131
36_17_64656,13.2,10,0.18,0.01,2022/10/01 00:00:00+00,dark blue,0.656993671
36_17_64657,13.2,1.46,0.3,0,2022/10/01 00:00:00+00,green,0.126879086
36_17_64658,13.2,1.16,0.2,0,2022/10/01 00:00:00+00,green,0.166814362
36_17_64659,13.2,0.5,0.28,0,2022/10/01 00:00:00+00,yellow,0.394770449
36_17_65140,13.2,7.75,0.1,0,2022/10/01 00:00:00+00,dark blue,0.241808513
36_17_65141,13.2,1.42,0.5,0,2022/10/01 00:00:00+00,green,0.151136517
36_17_65148,13.2,0.97,0.18,0,2022/10/01 00:00:00+00,yellow,0.232474638
36_17_65149,13.2,2.93,0.4,0,2022/10/01 00:00:00+00,light blue,0.142190937
36_17_65150,13.2,1.67,0.2,0.01,2022/10/01 00:00:00+00,turquoise,0.376737296
36_17_65151,13.2,1.58,0.3,0,2022/10/01 00:00:00+00,turquoise,0.165715069
36_17_65271,4.16,0.19,0.1,0,2022/10/01 00:00:00+00,brown,0.072011336
36_17_65272,4.16,0.15,0.1,0,2022/10/01 00:00:00+00,brown,0.045666492
36_17_65273,4.16,0,0,0,2022/10/01 00:00:00+00,brown,0.084656642
36_17_65274,4.16,0.31,0.31,0,2022/10/01 00:00:00+00,red,0.062718162
36_17_65651,13.2,0.62,0.5,0,2022/10/01 00:00:00+00,yellow,0.087875199
36_17_65671,4.16,0.25,0.2,0,2022/10/01 00:00:00+00,brown,0.058170531
36_17_65673,4.16,0.3,0.2,0,2022/10/01 00:00:00+00,red,0.03377575
36_17_66351,13.2,0.95,0.06,0,2022/10/01 00:00:00+00,yellow,0.22692822
36_17_66352,13.2,0.89,0.2,0,2022/10/01 00:00:00+00,yellow,0.159995297
36_17_66354,13.2,9.81,0.1,0,2022/10/01 00:00:00+00,dark blue,0.662553943
36_17_66355,13.2,1.56,0.3,0.01,2022/10/01 00:00:00+00,turquoise,0.14719249
36_17_66356,13.2,4,0.02,0.02,2022/10/01 00:00:00+00,blue,1.422727094
36_17_66468,4.16,0,0,0,2022/10/01 00:00:00+00,brown,0.053134278
