DER_ID,SERVICE_STREET_ADDRESS,DER_TYPE,DER_NAMEPLATE_RATING,DER_INTERCONNECTION_LOCATION,INTERCONNECTION_COST
235871,null,Solar,6,36_11_25355,0
235730,null,Solar,4.32,36_05_5157,0
235360,null,Solar,15.81,36_11_29451,0
236095,null,Solar,3.84,36_32_36452,0
235624,null,Solar,7,36_11_23552,0
236149,null,Battery Add-On,0,36_37_23452,0
235733,null,Solar,6,36_30_07852,0
233668,null,Solar,7.6,36_05_SEG63,0
234368,null,Solar,18.5,36_33_30351,0
234672,null,Solar,10,36_03_17161,0
234355,null,Solar,3.8,36_06_7451,0
233750,null,Solar,420,36_03_21051,5050
234726,null,Solar,18,36_06_8462,0
234215,null,Solar,6,36_06_8256,0
233769,null,Solar,7.6,36_01_5761,0
233715,null,Solar,7.6,36_01_13055,0
234247,null,Solar,11.4,36_20_50151,0
234323,null,Solar,7.6,36_39_01251,0
233989,null,Solar,0,36_39_46451,0
233757,null,Solar,3.8,36_07_9151,0
234658,null,Solar,5,36_01_5665,0
234394,null,Solar,3.8,36_01_4667,0
234592,null,Solar,6.4,36_11_26555,0
234014,null,Solar,3.8,36_32_36053,0
234825,null,Solar,3.8,36_01_4667,0
231643,null,Solar,15.2,36_17_65274,0
422324,null,Solar,7.68,36_37_26951,0
421811,null,Solar,11.4,36_39_28552,0
423058,null,Solar,4.56,36_11_26951,0
406795,null,Solar,7.6,36_32_44256,0
413066,null,Solar,10,36_31_33458,0
422663,null,Solar,12,36_37_23452,0
411271,null,Solar,23.04,36_11_29156,0
422776,null,Solar,12,36_11_15066,0
410080,null,Solar,7.6,36_39_29751,0
406993,null,Solar,11.655,36_33_08751,0
257204,null,Solar,4.32,36_01_2676,0
257200,null,Solar,15.2,36_20_50156,0
257176,null,Solar,6.93,36_01_99552,0
257155,null,Solar,6.6,36_01_4473,0
238127,null,Solar,17,36_11_26953,0
248831,null,Solar,10,36_11_12062,0
248740,null,Solar,7,36_13_73352,0
248792,null,Solar,6.4,36_30_02156,0
248721,null,Solar,7.6,36_30_28356,0
248988,null,Solar,11.4,36_38_33753,0
248879,null,Solar,10,36_30_10179,0
248915,null,Solar,3.8,36_12_27852,0
184443,null,Solar,3.8,36_01_99552,0
249023,null,Solar,7.6,36_03_10557,0
184441,null,Solar,7.6,36_32_36557,0
248963,null,Solar,12,36_05_4062,0
248907,null,Solar,6.93,36_03_23256,0
245344,null,Solar,6.72,36_11_26551,0
241823,null,Solar,19.72,36_16_4964,0
241855,null,Solar,4.32,36_03_6458,0
241762,null,Solar,5.04,36_11_26051,0
241743,null,Solar,5,36_39_36958,0
241767,null,Solar,10,36_04_0155,0
241833,null,Solar,19.2,36_05_5156,0
241850,null,Solar,10.6,36_05_3253,0
247884,null,Solar,3.8,36_25_85162,0
247890,null,Wind,10,36_07_18061,0
247846,null,Solar,3.8,36_03_23251,0
247860,null,Solar,5.2,36_33_30354,0
247811,null,Solar,7.6,36_01_4666,0
247915,null,Solar,18.9,36_03_23251,0
247364,null,Solar,10.6,36_31_26452,0
260910,null,Solar,7.6,36_01_2968,0
250636,null,Solar,6.4,36_06_9263,0
250643,null,Solar,6.08,36_07_9353,0
251232,null,Solar,5.44,36_03_8863,0
184450,null,Solar,7.6,36_01_4672,0
248683,null,Solar,11.52,36_07_8361,0
248685,null,Solar,6.4,36_01_2672,0
184445,null,Solar,4.8,36_30_44730,0
247429,null,Solar,20,36_30_45951,0
247698,null,Solar,13,36_06_8253,0
247635,null,Solar,11.52,36_03_7652,0
247713,null,Solar,14,36_33_30353,0
247701,null,Solar,7.6,36_11_26552,0
248513,null,Solar,20.88,36_11_1562,0
248553,null,Solar,11.4,36_01_4667,0
248437,null,Solar,7.6,36_31_33351,0
248499,null,Solar,6.96,36_11_26752,0
248446,null,Solar,5,36_03_6452,0
248458,null,Solar,7.6,36_39_01252,0
248448,null,Solar,11.4,36_30_34453,0
248605,null,Solar,14.4,36_09_6662,0
249966,null,Solar,7.2,36_17_66854,0
250038,null,Solar,7.6,36_01_14052,0
195464,null,Solar,3.2,36_33_08754,0
195417,null,Solar,15.16,36_11_26056,0
249223,null,Solar,6.27,36_01_2466,0
249228,null,Solar,13.2,36_05_3253,0
249131,null,Solar,7.92,36_07_8251,0
249135,null,Solar,23.4,36_39_34258,0
249217,null,Solar,11.4,36_31_09457,0
239657,null,Solar,7.6,36_03_9753,0
239518,null,Solar,3.8,36_01_2369,0
292530,null,Solar,6,36_32_25602,0
256715,null,Solar,5.76,36_16_6144,0
257186,null,Solar,4.8,36_01_2967,0
104772,null,Solar,3.8,36_08_6353,0
104780,null,Solar,12.5,36_31_12352,0
104796,null,Solar,13.2,36_39_36955,0
257857,null,Solar,73.2,36_01_22955,750
185896,null,Solar,11.5,36_13_76053,0
104781,null,Solar,12.8,36_31_41352,0
250765,null,Solar,10.08,36_10_2363,0
250686,null,Solar,6,36_26_81458,0
250766,null,Solar,21.2,36_03_7651,0
250670,null,Solar,5000,36_11_26552,795278
250721,null,Solar,7.6,36_30_45152,0
250682,null,Solar,6.4,36_01_2164,0
250700,null,Solar,7.7,36_09_6961,0
250777,null,Solar,13.6,36_04_1261,0
249505,null,Solar,0.87,36_35_39253,0
249515,null,Solar,3.8,36_32_34556,0
184461,null,Solar,5,36_03_21651,0
249525,null,Solar,5,36_30_29111,0
249352,null,Solar,19.2,36_01_22957,0
249379,null,Solar,10,36_30_07854,0
249350,null,Solar,9.92,36_01_22956,0
249355,null,Solar,10.88,36_05_5155,0
249339,null,Solar,7.6,36_10_4458,0
251809,null,Solar,7.36,36_38_18751,0
251654,null,Solar,6,36_39_44358,0
251794,null,Solar,6,36_01_3372,0
194491,null,Solar,7,36_11_28658,0
194495,null,Solar,73.8,36_13_74865,3650
194454,null,Solar,10,36_40_32252,0
194464,null,Solar,10,36_31_26452,0
250912,null,Solar,11.4,36_39_130152,0
250923,null,Solar,20.88,36_03_17063,0
250931,null,Solar,7.6,36_30_27652,0
250947,null,Solar,30,36_33_45451,0
250930,null,Solar,5,36_07_9352,0
263835,null,Solar,8.64,36_01_14058,0
263682,null,Solar,5,36_39_01254,0
263723,null,Solar,7.6,36_24_92758,0
264583,null,Solar,9,36_12_27851,0
264149,null,Solar,7.6,36_30_14952,0
263643,null,Solar,20,36_27_89553,0
264345,null,Solar,8.4,36_11_29056,0
257572,null,Solar,3.8,36_18_65357,0
257597,null,Solar,49.2,36_30_45151,2950
257595,null,Solar,7.92,36_09_15961,0
257731,null,Solar,7.6,36_29_91671,0
257793,null,Solar,15,36_25_97772,0
257820,null,Solar,17.6,36_17_33152,0
264415,null,Solar,7.6,36_37_26951,0
264384,null,Solar,16.96,36_09_15054,0
263673,null,Solar,7.6,36_32_322151,0
263852,null,Solar,7.6,36_35_06125,0
264127,null,Solar,10,36_38_33751,0
264413,null,Solar,6,36_17_66356,0
264437,null,Solar,10,36_28_93852,0
264286,null,Solar,5,36_24_84162,0
264426,null,Solar,9.36,36_11_24454,0
195950,null,Solar,5,36_01_3662,0
195936,null,Solar,3.8,36_03_20954,0
195961,null,Solar,12,36_31_31451,0
195868,null,Solar,4.48,36_39_41556,0
195934,null,Solar,3.8,36_01_6164,0
195939,null,Solar,3.8,36_01_2267,0
195957,null,Solar,6,36_01_3766,0
257973,null,Solar,7.6,36_25_95555,0
258150,null,Solar,8.4,36_04_0457,0
258157,null,Solar,8.88,36_11_26551,0
258041,null,Solar,10,36_27_89552,0
257972,null,Solar,8.41,36_17_64655,0
258117,null,Solar,5.52,36_11_26152,0
258058,null,Solar,9.145,36_11_5866,0
258031,null,Solar,8.64,36_11_26552,0
258022,null,Solar,5.76,36_11_15067,0
256678,null,Solar,1.92,36_03_9753,0
263579,null,Solar,4.95,36_03_6457,0
263477,null,Solar,9,36_11_22151,0
264122,null,Solar,7.6,36_33_42752,0
264103,null,Solar,10,36_33_08753,0
264254,null,Solar,9.36,36_03_23251,0
263741,null,Solar,7.6,36_31_31452,0
256595,null,Solar,11.4,36_31_12351,0
256633,null,Solar,7.2,36_18_65356,0
264050,null,Solar,3.8,36_03_9753,0
264025,null,Solar,5,36_04_2361,0
264383,null,Solar,15.6,36_05_5157,0
256892,null,Solar,10,36_01_3365,0
426765,null,Solar,5.325,36_30_45151,0
256988,null,Solar,11.4,36_05_5352,0
409446,null,Solar,10,36_35_50151,0
257017,null,Solar,7.68,36_06_9063,0
256895,null,Solar,17.4,36_35_04353,0
423543,null,Solar,7.6,36_35_02051,0
412512,null,Solar,3.8,36_30_07856,0
416734,null,Solar,19.8,36_17_62257,0
410628,null,Solar,7.6,36_39_46452,0
423750,null,Solar,5,36_41_42951,0
418625,null,Solar,27.6,36_30_28356,0
417027,null,Solar,6.6,36_04_2851,0
256976,null,Solar,4.81,36_01_3362,0
406624,null,Solar,10,36_38_18752,0
416290,null,Solar,2.196,36_13_73351,0
256981,null,Solar,72,36_31_30052,750
410939,null,Solar,10,36_33_42752,0
256889,null,Solar,10,36_30_28356,0
410216,null,Solar,6.08,36_35_50153,0
413745,null,Solar,10,36_30_44730,0
419705,null,Solar,11.4,36_31_32851,0
423546,null,Solar,7.6,36_11_13373,0
416012,null,Solar,10,36_39_41551,0
406824,null,Solar,11.4,36_05_3761,0
418702,null,Solar,5.6,36_32_34557,0
256984,null,Solar,7.6,36_25_97652,0
412673,null,Solar,7.7,36_39_01251,0
415033,null,Solar,10,36_38_42357,0
423849,null,Solar,5.94,36_32_23052,0
249253,null,Solar,7.68,36_32_13853,0
387977,null,Solar,11.4,36_32_28187,0
405340,null,Hydro,3500,null,0
396440,null,Solar,5,36_32_32056,0
394885,null,Solar,8.12,36_33_03552,0
390335,null,Solar,12.6,36_39_14206,0
386355,null,Solar,5,36_17_66356,0
394228,null,Solar,7.018,36_32_25577,0
408282,null,Solar,7.7,36_30_29109,0
390015,null,Solar,6.4,36_11_16853,0
392066,null,Solar,15.2,36_19_62370,0
387646,null,Solar,7.6,36_38_SEG49,0
395634,null,Solar,17.6,36_32_322151,0
391511,null,Solar,11.4,36_32_322153,0
386961,null,Solar,10,36_04_0153,0
392230,null,Solar,7.7,36_31_31451,0
405409,null,Solar,7.6,36_30_42153,0
400611,null,Solar,6,36_11_29057,0
393830,null,Solar,12,36_05_3662,0
395804,null,Solar,4.9,36_35_39253,0
392261,null,Solar,7.2,36_06_7363,0
386176,null,Solar,12.6,36_31_12353,0
391869,null,Solar,5.12,36_12_27052,0
403436,null,Solar,14,36_11_24753,0
390524,null,Solar,10.85,36_38_42357,0
386198,null,Solar,22.8,36_11_5958,0
385607,null,Solar,5.8,36_11_24452,0
249316,null,Solar,7.6,36_35_21932,0
405496,null,Hydro,1000,null,0
405544,null,Hydro,3300,null,0
249729,null,Solar,7.6,36_01_2367,0
385362,null,Solar,13.6,36_31_31452,0
406054,null,Solar,25,36_08_15351,0
394780,null,Solar,0,36_31_37253,0
397959,null,Solar,5,36_35_06120,0
387677,null,Solar,10,36_30_45151,0
249775,null,Solar,5,36_06_7861,0
392229,null,Solar,7.6,36_40_12252,0
394246,null,Solar,3.48,36_11_28658,0
393510,null,Solar,10.8,36_05_5053,0
408478,null,Solar,9.28,36_01_2762,0
394187,null,Solar,11.4,36_38_45351,0
397458,null,Solar,3,36_31_09491,0
388218,null,Solar,22.72,36_35_37954,0
395769,null,Solar,24,36_23_77354,0
270734,null,Solar,3.8,36_03_8963,0
271240,null,Solar,7.44,36_30_12866,0
430348,null,Solar,9.423,36_30_42126,0
271236,null,Solar,7.6,36_30_13256,0
270854,null,Solar,15,36_32_13853,0
436915,null,Solar,10.65,36_30_45153,0
434623,null,Solar,5,36_32_25735,0
447374,null,Solar,10,36_32_44256,0
437512,null,Solar,10.2,36_01_22957,0
271044,null,Solar,7.7,36_32_37056,0
428512,null,Solar,7.6,36_38_36251,0
434081,null,Solar,7.92,36_35_04356,0
271114,null,Solar,16,36_32_25578,0
270985,null,Solar,5,36_03_9753,0
271160,null,Solar,7.6,36_31_37253,0
434540,null,Solar,5.1,36_06_7452,0
429398,null,Solar,9.6,36_01_22953,0
436862,null,Solar,7.6,36_30_27652,0
429900,null,Solar,7.6,36_09_9861,0
271235,null,Solar,10,36_09_6962,0
272026,null,Solar,5,36_32_13755,0
271857,null,Solar,12.76,36_33_08755,0
271691,null,Solar,7.6,36_33_42753,0
428713,null,Solar,6.6,36_08_9955,0
271929,null,Solar,3.8,36_32_36055,0
431226,null,Solar,13.6,36_30_11340,0
271675,null,Solar,3.8,36_39_36955,0
428086,null,Solar,17.36,36_30_16442,0
271584,null,Solar,0,36_30_27942,0
271383,null,Solar,7.6,36_01_3672,0
271694,null,Solar,10,36_39_41555,0
271679,null,Solar,5,36_30_33905,0
271526,null,Solar,1500,36_01_99551,311024.6
271671,null,Solar,10,36_30_11338,0
271503,null,Solar,5000,36_01_14058,278970.38
271464,null,Solar,10.8,36_05_4161,0
271748,null,Solar,10,36_30_07858,0
429622,null,Solar,8.52,36_39_01251,0
271919,null,Solar,7.04,36_01_6167,0
272089,null,Solar,6,36_32_36557,0
272078,null,Solar,7.6,36_32_36451,0
429645,null,Solar,7.81,36_30_17853,0
272161,null,Solar,5000,36_17_33152,699505.43
272085,null,Solar,7.6,36_30_42153,0
272112,null,Solar,66.6,36_05_5352,3650
272070,null,Solar,6,36_32_34557,0
272562,null,Solar,3,36_39_01254,0
429208,null,Solar,12,36_04_0362,0
272609,null,Solar,8.4,36_05_3761,0
272496,null,Solar,4.16,36_01_2666,0
272209,null,Solar,6,36_30_28858,0
272570,null,Solar,11.4,36_39_01254,0
272582,null,Solar,5000,36_03_23252,377949.9
429194,null,Solar,7.6,36_32_34555,0
272956,null,Solar,5,36_30_42126,0
273053,null,Solar,10,36_39_41555,0
273515,null,Solar,7,36_05_5155,0
272971,null,Solar,6,36_33_42753,0
428386,null,Solar,12.6,36_12_27853,0
272907,null,Solar,8.505,36_03_23252,0
272954,null,Solar,7.6,36_31_26452,0
428720,null,Solar,10,36_03_7162,0
273180,null,Solar,5000,36_32_44256,1178955.76
273049,null,Solar,5,36_30_07852,0
273054,null,Solar,10,36_38_33754,0
273404,null,Solar,5,36_33_30353,0
273097,null,Solar,6,36_32_34554,0
429144,null,Solar,10.56,36_06_7459,0
273342,null,Solar,5,36_03_7655,0
428812,null,Solar,12.81,36_01_22955,0
428211,null,Solar,12.8,36_03_6452,0
273617,null,Solar,8.8,36_12_33451,0
429240,null,Solar,9,36_39_46451,0
273496,null,Solar,15.2,36_31_41353,0
274282,null,Solar,9.145,36_01_7961,0
274349,null,Solar,3.8,36_30_42126,0
274454,null,Solar,5,36_24_83951,0
427498,null,Solar,13,36_30_14951,0
273999,null,Solar,37.284,36_23_81557,0
274058,null,Solar,14.4,36_32_34554,0
273911,null,Solar,5.8,36_35_07253,0
273983,null,Solar,15.12,36_01_21156,0
428191,null,Solar,6,36_32_25605,0
273963,null,Solar,5,36_06_9061,0
429662,null,Solar,4.26,36_39_36956,0
429587,null,Solar,18,36_33_30352,0
283649,null,Solar,36.96,36_25_97654,0
277181,null,Solar,11.4,36_33_08753,0
277074,null,Solar,3.8,36_01_3766,0
277145,null,Solar,11.88,36_01_22957,0
274602,null,Solar,7.6,36_10_4451,0
276837,null,Solar,150,36_08_9956,3450
283575,null,Solar,10,36_10_3354,0
276508,null,Solar,3.8,36_01_6166,0
276427,null,Solar,5.04,36_01_3762,0
274596,null,Solar,5000,36_39_130152,132605.27
276705,null,Solar,14.08,36_11_26552,0
277107,null,Solar,5,36_01_21464,0
283631,null,Solar,37.92,36_25_97654,0
283570,null,Solar,6,36_33_08756,0
276460,null,Solar,3.8,36_01_22951,0
276506,null,Solar,3.8,36_03_8562,0
277082,null,Solar,6,36_31_30754,0
205455,null,Solar,5,36_09_15961,0
207257,null,Solar,6,36_33_30353,0
210760,null,Solar,6,36_35_02051,0
206621,null,Solar,5,36_30_37151,0
210252,null,Solar,5,36_30_33033,0
207171,null,Solar,7.6,36_30_10153,0
206629,null,Solar,10.94,36_39_130154,0
210283,null,Solar,6,36_41_38551,0
210279,null,Solar,10,36_11_24452,0
206850,null,Solar,6,36_10_3762,0
207404,null,Solar,7.6,36_32_38154,0
206931,null,Solar,5,36_04_22653,0
211082,null,Solar,8.7,36_11_26551,0
210772,null,Solar,7.68,36_05_3761,0
207349,null,Solar,7.6,36_39_03911,0
207359,null,Solar,3150,36_13_73351,114765.52
210805,null,Solar,6,36_31_30051,0
210445,null,Solar,3.8,36_08_6353,0
210486,null,Solar,3.8,36_01_2667,0
210447,null,Solar,5,36_03_6453,0
210448,null,Solar,7.6,36_03_17064,0
210499,null,Solar,7.6,36_01_6873,0
206894,null,Solar,7.6,36_37_23451,0
210677,null,Solar,9.6,36_30_28251,0
207256,null,Solar,6,36_37_26952,0
210672,null,Solar,7.68,36_30_28251,0
211131,null,Solar,7.8,36_11_29155,0
211551,null,Solar,2140,36_31_35251,92722.73
207411,null,Solar,12.96,36_33_30354,0
211543,null,Solar,4.64,36_25_95555,0
383100,null,Solar,7.6,36_30_28354,0
382241,null,Solar,18.85,36_06_9061,0
345161,null,Solar,11.4,36_30_37152,0
381560,null,Solar,50,36_26_81454,0
384686,null,Solar,7.6,36_29_72761,0
399171,null,Solar,10,36_01_3863,0
382404,null,Solar,4.06,36_01_2675,0
208173,null,Solar,3.8,36_01_6167,0
376858,null,Solar,9,36_01_20653,0
207494,null,Solar,1.92,36_35_36653,0
382686,null,Solar,7.6,36_39_130152,0
397263,null,Solar,13.6,36_31_32851,0
379926,null,Solar,4.64,36_31_12353,0
386267,null,Solar,13.6,36_24_83951,0
377173,null,Solar,7.6,36_30_44730,0
345696,null,Solar,7.7,36_38_32952,0
376681,null,Solar,11.6,36_39_130152,0
384267,null,Solar,7.6,36_33_08751,0
342205,null,Solar,16,36_23_77354,0
207685,null,Solar,3,36_30_33051,0
207794,null,Solar,7.6,36_11_4463,0
208306,null,Solar,10,36_32_38154,0
211209,null,Solar,5,36_01_6055,0
207690,null,Solar,5.12,36_05_5156,0
207498,null,Solar,6,36_30_45253,0
208301,null,Solar,6,36_24_84162,0
211620,null,Solar,5,36_30_27651,0
208595,null,Solar,120,36_30_10179,4150
207746,null,Solar,9.72,36_38_33151,0
207827,null,Solar,7.6,36_05_5156,0
211920,null,Solar,3.6,36_11_29057,0
211910,null,Solar,3.36,36_14_29351,0
208213,null,Solar,6,36_39_130152,0
207532,null,Solar,3.8,36_01_15468,0
208134,null,Solar,10,36_03_8964,0
207524,null,Solar,3.8,36_11_26658,0
208358,null,Solar,7.6,36_39_01253,0
207913,null,Solar,12.16,36_01_20653,0
207910,null,Solar,5.12,36_01_2661,0
211892,null,Solar,3.84,36_33_30354,0
207885,null,Solar,6.6,36_11_0763,0
250369,null,Solar,10.56,36_11_26552,0
250346,null,Solar,6,36_31_44952,0
252123,null,Solar,10,36_39_01253,0
252422,null,Solar,3.8,36_30_37154,0
252401,null,Solar,10,36_07_18061,0
252383,null,Solar,5.76,36_35_35852,0
252397,null,Solar,9.6,36_11_690051,0
252353,null,Solar,7.6,36_25_92452,0
253435,null,Solar,5,36_03_8065,0
253463,null,Solar,5000,36_11_26551,747521
253443,null,Solar,5.67,36_39_36954,0
253551,null,Solar,7.2,36_12_33453,0
254634,null,Solar,0.23,36_31_35256,0
254765,null,Solar,15.4,36_16_32451,0
254724,null,Solar,22.8,36_30_32751,0
254695,null,Solar,7.6,36_01_4671,0
252520,null,Solar,15.2,36_05_5155,0
252522,null,Solar,15,36_18_66953,0
252515,null,Solar,11.4,36_28_37061,0
252631,null,Solar,6.96,36_11_26752,0
251057,null,Solar,13,36_30_28356,0
251072,null,Solar,5,36_32_25737,0
251018,null,Solar,10,36_31_26453,0
251070,null,Solar,7.6,36_30_42126,0
251077,null,Solar,10,36_37_39052,0
290765,null,Battery Add-On,0,36_30_28355,0
290523,null,Solar,13.6,36_39_36951,0
290368,null,Solar,21,36_16_6651,0
290460,null,Solar,10,36_39_37653,0
290299,null,Solar,5,36_30_42151,0
290320,null,Solar,6,36_39_130152,0
290309,null,Solar,7.6,36_39_01253,0
290541,null,Solar,10,36_39_130152,0
290293,null,Solar,10,36_32_322151,0
290490,null,Solar,22.8,36_33_08754,0
290335,null,Solar,7.6,36_12_27853,0
87694,null,Solar,5,36_11_26751,0
87695,null,Solar,6,36_38_36252,0
87696,null,Solar,4,36_25_97656,0
87697,null,Solar,4,36_25_97656,0
87698,null,Solar,7.6,36_11_26253,0
87699,null,Solar,5,36_30_31715,0
87700,null,Solar,5,36_19_61452,0
87701,null,Solar,3.6,36_17_66351,0
87702,null,Solar,7.2,36_30_07856,0
87703,null,Solar,11,36_38_29554,0
87704,null,Solar,6,36_31_31451,0
87825,null,Solar,5,36_24_83951,0
87826,null,Solar,5,36_06_8253,0
87827,null,Solar,5,36_39_44357,0
87828,null,Solar,6,36_11_29056,0
87829,null,Solar,5,36_30_33052,0
